From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Sandhurst (Berks),285085,Paddington,00:59,1,every 00:25,,,,00:59
Saunderton,347090,Marylebone,00:42,0,every 00:22,,,,00:42
Seer Green,536037,Marylebone,00:28,0,every 00:26,,,,00:28
Shalford,438370,Waterloo,00:50,1,every 00:23,,,,00:50
Shepperton,300247,Waterloo,00:51,0,every 00:15,,,,00:51
Shiplake,375765,Paddington,00:40,0,every 00:32,,,,00:40
Slough,215474,Paddington,00:28,0,every 00:11,,,,00:28
South Acton,410927,Euston,00:38,1,every 00:22,,,,00:38
South Greenford,410927,Paddington,00:23,0,every 00:30,,,,00:23
South Kenton,421527,Euston,00:23,0,every 00:06,,,,00:23
South Merton,450538,Waterloo,00:30,1,every 00:31,,,,00:30
South Merton,450538,Blackfriars,00:36,0,every 00:31,,,,00:36
South Merton,450538,London Bridge,00:46,0,every 00:13,,,,00:46
South Merton,450538,Kings Cross,00:51,1,every 00:25,,,,00:51
South Merton,450538,Moorgate,00:57,1,every 00:31,,,,00:57
South Ruislip,306484,Marylebone,00:17,0,every 00:15,,,,00:17
Southall,410927,Paddington,00:18,0,every 00:11,,,,00:18
St Margarets (London),592341,Waterloo,00:30,0,every 00:15,,,,00:30
St Pancras,824485,London Bridge,00:20,0,every 00:06,,,,00:20
Staines,300247,Waterloo,00:37,0,every 00:08,,,,00:37
Stoke Mandeville,273920,Marylebone,00:56,0,every 00:16,,,,00:56
Stonebridge Park,421527,Euston,00:23,0,every 00:11,,,,00:23
Stoneleigh,360369,Waterloo,00:32,0,every 00:15,,,,00:32
Strawberry Hill,592341,Waterloo,00:37,0,every 00:12,,,,00:37
Streatham,411350,Blackfriars,00:19,0,every 00:16,,,,00:19
Streatham,411350,London Bridge,00:23,0,every 00:10,,,,00:23
Streatham,411350,Victoria,00:25,1,every 00:16,,,,00:25
Streatham,411350,Charing Cross,00:32,1,every 00:13,,,,00:32
Streatham,411350,Waterloo,00:34,1,every 00:20,,,,00:34
Streatham,411350,Moorgate,00:38,1,every 00:13,,,,00:38
Streatham,411350,Kings Cross,00:46,1,every 00:11,,,,00:46
Streatham Common,411350,Victoria,00:19,0,every 00:07,,,,00:19
Streatham Common,411350,London Bridge,00:28,0,every 00:13,,,,00:28
Streatham Common,411350,Waterloo,00:30,1,every 00:07,,,,00:30
Streatham Common,411350,Charing Cross,00:42,1,every 00:05,,,,00:42
Streatham Hill,411350,Victoria,00:19,0,every 00:15,,,,00:19
Streatham Hill,411350,Waterloo,00:30,1,every 00:14,,,,00:30
Streatham Hill,411350,London Bridge,00:31,0,every 00:13,,,,00:31
Streatham Hill,411350,Charing Cross,00:41,1,every 00:14,,,,00:41
Sudbury Hill Harrow,359987,Marylebone,00:17,0,every 00:25,,,,00:17
Sunbury,300247,Waterloo,00:46,0,every 00:15,,,,00:46
Sunningdale,431298,Waterloo,00:53,0,every 00:12,,,,00:53
Sunnymeads,431298,Waterloo,00:50,0,every 00:30,,,,00:50
Surbiton,412144,Waterloo,00:17,0,every 00:08,,,,00:17
Syon Lane,382711,Waterloo,00:35,0,every 00:15,,,,00:35
Tadworth,350380,London Bridge,00:46,0,every 00:15,,,,00:46
Tadworth,350380,Victoria,00:52,0,every 00:15,,,,00:52
Taplow,565049,Paddington,00:35,0,every 00:14,,,,00:35
Tattenham Corner,350380,London Bridge,00:49,0,every 00:15,,,,00:49
Tattenham Corner,350380,Victoria,00:55,0,every 00:15,,,,00:55
Teddington,592341,Waterloo,00:37,0,every 00:07,,,,00:37
Thames Ditton,660853,Waterloo,00:30,0,every 00:30,,,,00:30
Thatcham,313230,Paddington,00:53,0,every 00:09,,,,00:53
Theale,313230,Paddington,00:44,0,every 00:13,,,,00:44
Tilehurst,248486,Paddington,00:45,0,every 00:17,,,,00:45
