From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Meldreth,303061,Kings Cross,00:49,0,every 00:38,,,,00:49
Mill Hill Broadway,465297,Blackfriars,00:27,0,every 00:09,,,,00:27
Mill Hill Broadway,465297,Kings Cross,00:30,1,every 00:09,,,,00:30
Mill Hill Broadway,465297,Moorgate,00:36,1,every 00:09,,,,00:36
Mill Hill Broadway,465297,London Bridge,00:39,1,every 00:11,,,,00:39
Milton Keynes Central,219344,Euston,00:35,0,every 00:14,,,,00:35
Monks Risborough,347090,Marylebone,00:52,0,every 00:45,,,,00:52
New Barnet,465297,Kings Cross,00:20,0,every 00:13,,,,00:20
New Barnet,465297,Moorgate,00:25,0,every 00:10,,,,00:25
New Barnet,465297,London Bridge,00:32,1,every 00:11,,,,00:32
New Barnet,465297,Blackfriars,00:40,1,every 00:10,,,,00:40
New Southgate,307394,Kings Cross,00:15,0,every 00:13,,,,00:15
New Southgate,307394,Moorgate,00:20,0,every 00:10,,,,00:20
New Southgate,307394,London Bridge,00:27,1,every 00:11,,,,00:27
New Southgate,307394,Blackfriars,00:35,1,every 00:10,,,,00:35
North Fambridge,226637,Liverpool Street,00:56,0,every 00:43,,,,00:56
North Wembley,421527,Euston,00:25,0,every 00:06,,,,00:25
Northampton,166689,Euston,00:48,0,every 00:20,,,,00:48
Northolt Park,410927,Marylebone,00:17,0,every 00:28,,,,00:17
Northumberland Park,438758,Liverpool Street,00:19,0,every 00:29,,,,00:19
Oakleigh Park,465297,Kings Cross,00:18,0,every 00:13,,,,00:18
Oakleigh Park,465297,Moorgate,00:23,0,every 00:10,,,,00:23
Oakleigh Park,465297,London Bridge,00:30,1,every 00:11,,,,00:30
Oakleigh Park,465297,Blackfriars,00:38,1,every 00:10,,,,00:38
Palmers Green,307394,Moorgate,00:24,0,every 00:09,,,,00:24
Palmers Green,307394,Kings Cross,00:24,1,every 00:08,,,,00:24
Palmers Green,307394,London Bridge,00:30,1,every 00:08,,,,00:30
Palmers Green,307394,Blackfriars,00:37,1,every 00:06,,,,00:37
Park Street,451155,Euston,00:39,1,every 00:42,,,,00:39
Peterborough,163344,Kings Cross,00:54,0,every 00:11,,,,00:54
Ponders End,307394,Liverpool Street,00:22,0,every 00:31,,,,00:22
Potters Bar,428279,Kings Cross,00:25,0,every 00:13,,,,00:25
Potters Bar,428279,Moorgate,00:32,0,every 00:10,,,,00:32
Potters Bar,428279,London Bridge,00:39,1,every 00:10,,,,00:39
Potters Bar,428279,Blackfriars,00:47,1,every 00:10,,,,00:47
Princes Risborough,347090,Marylebone,00:36,0,every 00:17,,,,00:36
Radlett,428279,Blackfriars,00:35,0,every 00:08,,,,00:35
Radlett,428279,Kings Cross,00:38,1,every 00:08,,,,00:38
Radlett,428279,Moorgate,00:44,1,every 00:08,,,,00:44
Radlett,428279,London Bridge,00:47,1,every 00:10,,,,00:47
Rectory Road,390127,Liverpool Street,00:15,0,every 00:10,,,,00:15
Rickmansworth,359987,Marylebone,00:27,0,every 01:04,,,,00:27
Roydon,322619,Liverpool Street,00:36,0,every 00:18,,,,00:36
Royston,274270,Kings Cross,00:38,0,every 00:11,,,,00:38
Rugby,192915,Euston,00:49,0,every 00:20,,,,00:49
Rye House,245865,Liverpool Street,00:39,0,every 00:28,,,,00:39
Sandy,251158,Kings Cross,00:43,0,every 00:20,,,,00:43
Sandy,251158,Moorgate,00:59,1,every 00:45,,,,00:59
Saunderton,347090,Marylebone,00:42,0,every 00:22,,,,00:42
Sawbridgeworth,361911,Liverpool Street,00:39,0,every 00:15,,,,00:39
Seer Green,536037,Marylebone,00:28,0,every 00:26,,,,00:28
Seven Sisters,438758,Liverpool Street,00:16,0,every 00:07,,,,00:16
Shenfield,341139,Liverpool Street,00:29,0,every 00:05,,,,00:29
Shepreth,303061,Kings Cross,00:52,0,every 00:38,,,,00:52
Silver Street,307394,Liverpool Street,00:26,0,every 00:10,,,,00:26
South Kenton,421527,Euston,00:23,0,every 00:06,,,,00:23
South Ruislip,306484,Marylebone,00:17,0,every 00:15,,,,00:17
South Tottenham,438758,Euston,00:39,1,every 00:11,,,,00:39
Southbury,307394,Liverpool Street,00:31,0,every 00:27,,,,00:31
St Albans,451155,Blackfriars,00:30,0,every 00:08,,,,00:30
St Albans,451155,Kings Cross,00:32,1,every 00:08,,,,00:32
St Albans,451155,London Bridge,00:38,0,every 00:12,,,,00:38
St Albans,451155,Moorgate,00:39,1,every 00:09,,,,00:39
St Albans Abbey,451155,Euston,00:42,1,every 00:21,,,,00:42
St James Street,256029,Liverpool Street,00:16,0,every 00:15,,,,00:16
St Margarets (Herts),322619,Liverpool Street,00:42,0,every 00:28,,,,00:42
St Neots,210913,Kings Cross,00:43,0,every 00:14,,,,00:43
St Pancras,824485,London Bridge,00:20,0,every 00:06,,,,00:20
Stamford Hill,438758,Liverpool Street,00:20,0,every 00:15,,,,00:20
Stansted Airport,365312,Liverpool Street,00:53,0,every 00:14,,,,00:53
Stansted Mountfitchet,365312,Liverpool Street,00:47,0,every 00:19,,,,00:47
Stevenage,190002,Kings Cross,00:24,0,every 00:07,,,,00:24
Stevenage,190002,Moorgate,00:39,1,every 00:13,,,,00:39
Stevenage,190002,London Bridge,00:46,2,every 00:13,,,,00:46
Stevenage,190002,Blackfriars,00:54,2,every 00:06,,,,00:54
Stoke Mandeville,273920,Marylebone,00:56,0,every 00:16,,,,00:56
Stoke Newington,390127,Liverpool Street,00:16,0,every 00:10,,,,00:16
Stonebridge Park,421527,Euston,00:23,0,every 00:11,,,,00:23
Sudbury Hill Harrow,359987,Marylebone,00:17,0,every 00:25,,,,00:17
Theobalds Grove,245865,Liverpool Street,00:38,0,every 00:15,,,,00:38
Tottenham Hale,438758,Liverpool Street,00:16,0,every 00:06,,,,00:16
Tring,343109,Euston,00:37,0,every 00:14,,,,00:37
Turkey Street,307394,Liverpool Street,00:34,0,every 00:27,,,,00:34
Upper Holloway,526314,Euston,00:44,1,every 00:07,,,,00:44
Waltham Cross,245865,Liverpool Street,00:28,0,every 00:13,,,,00:28
Walthamstow Central,256029,Liverpool Street,00:19,0,every 00:15,,,,00:19
Ware (Herts),322619,Liverpool Street,00:46,0,every 00:28,,,,00:46
Watford High Street,269245,Euston,00:31,1,every 00:15,,,,00:31
Watford Junction,269245,Euston,00:19,0,every 00:05,,,,00:19
Watford North,269245,Euston,00:29,1,every 00:42,,,,00:29
Watton-at-Stone,322619,Moorgate,00:48,0,every 00:24,,,,00:48
Watton-at-Stone,322619,Kings Cross,00:50,1,every 00:24,,,,00:50
Watton-at-Stone,322619,London Bridge,00:55,1,every 00:24,,,,00:55
Welham Green,315934,Kings Cross,00:37,1,every 00:13,,,,00:37
Welham Green,315934,Moorgate,00:37,0,every 00:15,,,,00:37
Welham Green,315934,London Bridge,00:44,1,every 00:15,,,,00:44
Welham Green,315934,Blackfriars,00:52,1,every 00:16,,,,00:52
Welwyn Garden City,315934,Kings Cross,00:23,0,every 00:22,,,,00:23
Welwyn Garden City,315934,Moorgate,00:34,0,every 00:10,,,,00:34
Welwyn Garden City,315934,London Bridge,00:41,1,every 00:11,,,,00:41
Welwyn Garden City,315934,Blackfriars,00:49,1,every 00:11,,,,00:49
Welwyn North,315934,Kings Cross,00:21,0,every 00:19,,,,00:21
Welwyn North,315934,Moorgate,00:38,1,every 00:18,,,,00:38
Welwyn North,315934,London Bridge,00:45,1,every 00:20,,,,00:45
Welwyn North,315934,Blackfriars,00:53,2,every 00:20,,,,00:53
Wembley Central,421527,Euston,00:24,0,every 00:20,,,,00:24
Wendover,273920,Marylebone,00:51,0,every 00:16,,,,00:51
West Hampstead,824485,Blackfriars,00:30,1,every 00:18,,,,00:30
West Hampstead,824485,Kings Cross,00:32,1,every 00:05,,,,00:32
West Hampstead,824485,Moorgate,00:39,2,every 00:11,,,,00:39
West Hampstead,824485,London Bridge,00:53,2,every 00:11,,,,00:53
West Ruislip,306484,Marylebone,00:25,0,every 00:50,,,,00:25
White Hart Lane,438758,Liverpool Street,00:24,0,every 00:10,,,,00:24
White Notley,229818,Liverpool Street,00:55,0,every 00:51,,,,00:55
Willesden Junction,421527,Euston,00:16,0,every 00:22,,,,00:16
Winchmore Hill,307394,Moorgate,00:26,0,every 00:08,,,,00:26
Winchmore Hill,307394,Kings Cross,00:26,1,every 00:08,,,,00:26
Winchmore Hill,307394,London Bridge,00:32,1,every 00:08,,,,00:32
Winchmore Hill,307394,Blackfriars,00:39,1,every 00:06,,,,00:39
Witham,229818,Liverpool Street,00:45,0,every 00:06,,,,00:45
Wolverton,219344,Euston,00:44,0,every 00:20,,,,00:44
Wood Street,256029,Liverpool Street,00:21,0,every 00:15,,,,00:21

Data exported from commutefrom.com
