Input File,Station,Average House Price,Destination,Duration,Frequency,Changes,Primary Schools Link,Secondary Schools Link
commutefrom-E.csv,Otford,448336,Cannon Street,00:43,every 00:19,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Otford&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Otford&t=sec
commutefrom-E.csv,Otford,448336,Waterloo,00:48,every 00:17,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Otford&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Otford&t=sec
commutefrom-E.csv,Otford,448336,Charing Cross,00:49,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Otford&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Otford&t=sec
commutefrom-E.csv,Paddock Wood,374023,London Bridge,00:42,every 00:09,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=sec
commutefrom-E.csv,Paddock Wood,374023,Cannon Street,00:50,every 00:19,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=sec
commutefrom-E.csv,Paddock Wood,374023,Waterloo,00:50,every 00:20,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=sec
commutefrom-E.csv,Paddock Wood,374023,Charing Cross,00:51,every 00:20,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=sec
commutefrom-E.csv,Paddock Wood,374023,Blackfriars,00:58,every 00:23,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Paddock%20Wood&t=sec
commutefrom-E.csv,Peckham Rye,424252,Victoria,00:16,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=sec
commutefrom-E.csv,Peckham Rye,424252,Cannon Street,00:26,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=sec
commutefrom-E.csv,Peckham Rye,424252,Charing Cross,00:26,every 00:05,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=sec
commutefrom-E.csv,Peckham Rye,424252,Waterloo,00:27,every 00:05,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=sec
commutefrom-E.csv,Peckham Rye,424252,Moorgate,00:31,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=sec
commutefrom-E.csv,Peckham Rye,424252,Kings Cross,00:42,every 00:03,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Peckham%20Rye&t=sec
commutefrom-E.csv,Penge East,347974,Blackfriars,00:19,every 00:13,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge East,347974,Victoria,00:19,every 00:14,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge East,347974,Charing Cross,00:32,every 00:16,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge East,347974,Waterloo,00:34,every 00:11,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge East,347974,London Bridge,00:38,every 00:08,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
